Date,Mat_Month,Mat_Year,Mat_Day
2010-04-30,4,2010,30
2010-05-31,5,2010,31
2010-06-30,6,2010,30
2010-07-30,7,2010,30
2010-08-31,8,2010,31
2010-09-30,9,2010,30
2010-10-29,10,2010,29
2010-11-30,11,2010,30
2010-12-31,12,2010,31
2011-01-31,1,2011,31
2011-02-28,2,2011,28
2011-03-31,3,2011,31
2011-04-29,4,2011,29
2011-05-31,5,2011,31
2011-06-30,6,2011,30
2011-07-29,7,2011,29
2011-08-31,8,2011,31
2011-09-30,9,2011,30
2011-10-31,10,2011,31
2011-11-30,11,2011,30
2011-12-30,12,2011,30
2012-01-31,1,2012,31
2012-02-29,2,2012,29
2012-03-30,3,2012,30
2012-04-30,4,2012,30
2012-05-31,5,2012,31
2012-06-29,6,2012,29
2012-07-31,7,2012,31
2012-08-31,8,2012,31
2012-09-28,9,2012,28
2012-10-31,10,2012,31
2012-11-30,11,2012,30
2012-12-31,12,2012,31
2013-01-31,1,2013,31
2013-02-28,2,2013,28
2013-03-29,3,2013,29
2013-04-30,4,2013,30
2013-05-31,5,2013,31
2013-06-28,6,2013,28
2013-07-31,7,2013,31
2013-08-30,8,2013,30
2013-09-30,9,2013,30
2013-10-31,10,2013,31
2013-11-29,11,2013,29
2013-12-31,12,2013,31
2014-01-31,1,2014,31
2014-02-28,2,2014,28
2014-03-31,3,2014,31
2014-04-30,4,2014,30
2014-05-30,5,2014,30
2014-06-30,6,2014,30
2014-07-31,7,2014,31
2014-08-29,8,2014,29
2014-09-30,9,2014,30
2014-10-31,10,2014,31
2014-11-28,11,2014,28
2014-12-31,12,2014,31
2015-01-30,1,2015,30
2015-02-27,2,2015,27
2015-03-31,3,2015,31
2015-04-30,4,2015,30
2015-05-29,5,2015,29
2015-06-30,6,2015,30
2015-07-31,7,2015,31
2015-08-31,8,2015,31
2015-09-30,9,2015,30
2015-10-30,10,2015,30
2015-11-30,11,2015,30
2015-12-31,12,2015,31
2016-01-29,1,2016,29
2016-02-29,2,2016,29
2016-03-31,3,2016,31
2016-04-29,4,2016,29
2016-05-31,5,2016,31
2016-06-30,6,2016,30
2016-07-29,7,2016,29
2016-08-31,8,2016,31
2016-09-30,9,2016,30
2016-10-31,10,2016,31
2016-11-30,11,2016,30
2016-12-30,12,2016,30
2017-01-31,1,2017,31
2017-02-28,2,2017,28
2017-03-31,3,2017,31
2017-04-28,4,2017,28
2017-05-31,5,2017,31
2017-06-30,6,2017,30
2017-07-31,7,2017,31
2017-08-31,8,2017,31
2017-09-29,9,2017,29
2017-10-31,10,2017,31
2017-11-30,11,2017,30
2017-12-29,12,2017,29
2018-01-31,1,2018,31
2018-02-28,2,2018,28
2018-03-30,3,2018,30
2018-04-30,4,2018,30
2018-05-31,5,2018,31
2018-06-29,6,2018,29
2018-07-31,7,2018,31
2018-08-31,8,2018,31
2018-09-28,9,2018,28
2018-10-31,10,2018,31
2018-11-30,11,2018,30
2018-12-31,12,2018,31
2019-01-31,1,2019,31
2019-02-28,2,2019,28
2019-03-29,3,2019,29
2019-04-30,4,2019,30
2019-05-31,5,2019,31
2019-06-28,6,2019,28
2019-07-31,7,2019,31
2019-08-30,8,2019,30
2019-09-30,9,2019,30
2019-10-31,10,2019,31
2019-11-29,11,2019,29
2019-12-31,12,2019,31
2020-01-31,1,2020,31
2020-02-28,2,2020,28
2020-03-31,3,2020,31
2020-04-30,4,2020,30
2020-05-29,5,2020,29
2020-06-30,6,2020,30
2020-07-31,7,2020,31
2020-08-31,8,2020,31
2020-09-30,9,2020,30
2020-10-30,10,2020,30
2020-11-30,11,2020,30
2020-12-31,12,2020,31
2021-01-29,1,2021,29
2021-02-26,2,2021,26
2021-03-31,3,2021,31
2021-04-30,4,2021,30
2021-05-31,5,2021,31
2021-06-30,6,2021,30
2021-07-30,7,2021,30
2021-08-31,8,2021,31
2021-09-30,9,2021,30
2021-10-29,10,2021,29
2021-11-30,11,2021,30
2021-12-31,12,2021,31
2022-01-31,1,2022,31
2022-02-28,2,2022,28
2022-03-31,3,2022,31
2022-04-29,4,2022,29
2022-05-31,5,2022,31
2022-06-30,6,2022,30
2022-07-29,7,2022,29
2022-08-31,8,2022,31
2022-09-30,9,2022,30
2022-10-31,10,2022,31
2022-11-30,11,2022,30
2022-12-30,12,2022,30
2023-01-31,1,2023,31
2023-02-28,2,2023,28
2023-03-31,3,2023,31
2023-04-28,4,2023,28
2023-05-31,5,2023,31
2023-06-30,6,2023,30
2023-07-31,7,2023,31
2023-08-31,8,2023,31
2023-09-29,9,2023,29
2023-10-31,10,2023,31
2023-11-30,11,2023,30
2023-12-29,12,2023,29
2024-01-31,1,2024,31
2024-02-29,2,2024,29
